,10000,100000,1000000,10000000,100000000
tests.maptests.article_examples.IntIntMap1Test,"4669","5408","8027","13799","18330"
tests.maptests.article_examples.IntIntMap2Test,"1478","2038","6949","16823","24972"
tests.maptests.article_examples.IntIntMap3Test,"1126","1711","5939","10365","14324"
tests.maptests.article_examples.IntIntMap4Test,"1020","1654","4386","7955","9015"
tests.maptests.article_examples.IntIntMap4aTest,"936","1610","4303","7071","8158"
tests.maptests.primitive.FastUtilMapTest,"1034","1553","4542","9159","11489"
tests.maptests.primitive.GsMutableMapTest,"1364","1948","5982","7811","9591"
tests.maptests.primitive.KolobokeMutableMapTest,"928","1907","4310","5677","8061"
tests.maptests.primitive.HppcMapTest,"1214","1681","4682","8800","11261"
tests.maptests.primitive.TroveJbMapTest,"2564","3512","8302","16099","22556"
tests.maptests.primitive.TroveMapTest,"2509","3228","8155","18844","24063"
tests.maptests.object.FastUtilObjMapTest,"2098","3054","25508","22043","42876"
tests.maptests.object.KolobokeMutableObjTest,"2489","5833","27332","19196","34898"
tests.maptests.object.KolobokeNotNullKeyObjTest,"2566","5869","27526","19702","34584"
tests.maptests.object.KolobokeHashCodeMixingObjTest,"3075","6591","29269","22280","41858"
tests.maptests.object.HppcObjMapTest,"2503","3525","27779","22771","51795"
tests.maptests.object.GsObjMapTest,"2786","8522","17859","19364","41120"
tests.maptests.object.JdkMapTest,"4636","7372","19003","33358","61827"
tests.maptests.object.JdkMapTestDifferentCapacity,"3165","5109","16574","25991","55876"
tests.maptests.object.TroveJbObjMapTest,"4577","6110","27078","33461","64130"
tests.maptests.object.TroveObjMapTest,"4223","5898","33808","29488","53873"
tests.maptests.article_examples.ObjObjMapTest,"2094","3124","25401","22428","42534"
tests.maptests.prim_object.FastUtilIntObjectMapTest,"1101","1635","4687","8540","11601"
tests.maptests.prim_object.GsIntObjectMapTest,"1311","2226","6305","9435","12576"
tests.maptests.prim_object.KolobokeIntObjectMapTest,"1073","1838","5303","8597","11652"
tests.maptests.prim_object.HppcIntObjectMapTest,"1491","2105","5594","8777","11087"
tests.maptests.prim_object.TroveJbIntObjectMapTest,"3436","4415","13440","18801","36144"
tests.maptests.prim_object.TroveIntObjectMapTest,"2851","3683","9140","18716","23786"
tests.maptests.object_prim.FastUtilObjectIntMapTest,"1724","2649","11064","11653","26687"
tests.maptests.object_prim.GsObjectIntMapTest,"1964","3037","12852","13639","28667"
tests.maptests.object_prim.KolobokeObjectIntMapTest,"2197","3002","13157","14026","27518"
tests.maptests.object_prim.HppcObjectIntMapTest,"2157","2966","13191","13783","27869"
tests.maptests.object_prim.TroveJbObjectIntMapTest,"3868","5179","27425","24943","42197"
tests.maptests.object_prim.TroveObjectIntMapTest,"4249","4999","21417","25005","35397"
tests.maptests.identity_object.FastUtilRef2ObjectMapTest,"1921","2561","32489","28169","37780"
tests.maptests.identity_object.GsIdentityMapTest,"2819","6571","15614","17618","38272"
tests.maptests.identity_object.KolobokeIdentityMapTest,"2924","5781","13872","23498","39224"
tests.maptests.identity_object.HppcIdentityMapTest,"2286","2985","34278","17796","39791"
tests.maptests.identity_object.JDKIdentityMapTest,"2822","4106","30916","21216","28797"
tests.maptests.identity_object.TroveJbIdentityMapTest,"4375","5206","37342","29673","56418"
tests.maptests.identity_object.TroveIdentityMapTest,"4124","5259","39640","26626","46892"
