,10000,100000,1000000,10000000,100000000
tests.maptests.article_examples.IntIntMap1Test,"3746","4145","5638","11775","15173"
tests.maptests.article_examples.IntIntMap2Test,"1216","1712","3807","10105","14246"
tests.maptests.article_examples.IntIntMap3Test,"982","1531","3070","6637","8668"
tests.maptests.article_examples.IntIntMap4Test,"718","1263","2824","5266","6104"
tests.maptests.article_examples.IntIntMap4aTest,"626","1275","2792","5275","6123"
tests.maptests.primitive.FastUtilMapTest,"728","1315","3141","6283","8316"
tests.maptests.primitive.GsMutableMapTest,"2373","2666","5332","8192","8246"
tests.maptests.primitive.KolobokeMutableMapTest,"647","1277","2631","5506","6544"
tests.maptests.primitive.HppcMapTest,"1159","1581","3157","6282","7988"
tests.maptests.primitive.TroveJbMapTest,"3182","3678","5593","13031","19636"
tests.maptests.primitive.TroveMapTest,"2764","3226","4889","13822","18543"
tests.maptests.object.FastUtilObjMapTest,"1647","2421","9915","15988","28093"
tests.maptests.object.KolobokeMutableObjTest,"1899","2583","10306","13240","22608"
tests.maptests.object.KolobokeNotNullKeyObjTest,"2018","2605","10330","13140","22444"
tests.maptests.object.KolobokeHashCodeMixingObjTest,"2039","2762","11089","14344","22537"
tests.maptests.object.HppcObjMapTest,"1947","2790","10013","13400","28400"
tests.maptests.object.GsObjMapTest,"1855","2591","9092","11791","19595"
tests.maptests.object.JdkMapTest,"2605","3155","8010","17539","37747"
tests.maptests.object.JdkMapTestDifferentCapacity,"1712","2451","6914","12798","36407"
tests.maptests.object.TroveJbObjMapTest,"3649","4419","11957","19113","36608"
tests.maptests.object.TroveObjMapTest,"4053","4773","13146","20224","33872"
tests.maptests.article_examples.ObjObjMapTest,"1642","2684","9580","18287","29376"
tests.maptests.prim_object.FastUtilIntObjectMapTest,"1203","1811","4360","8918","13988"
tests.maptests.prim_object.GsIntObjectMapTest,"2728","3072","7335","10980","13811"
tests.maptests.prim_object.KolobokeIntObjectMapTest,"1290","2026","4301","8888","13560"
tests.maptests.prim_object.HppcIntObjectMapTest,"1640","2225","4551","9311","13859"
tests.maptests.prim_object.TroveJbIntObjectMapTest,"3263","4152","7446","18012","25799"
tests.maptests.prim_object.TroveIntObjectMapTest,"3156","3638","6615","15089","18283"
tests.maptests.object_prim.FastUtilObjectIntMapTest,"1296","2063","8392","10552","17445"
tests.maptests.object_prim.GsObjectIntMapTest,"3257","3582","10860","16530","26582"
tests.maptests.object_prim.KolobokeObjectIntMapTest,"1754","2497","8821","12209","20123"
tests.maptests.object_prim.HppcObjectIntMapTest,"1636","2381","8371","11463","18508"
tests.maptests.object_prim.TroveJbObjectIntMapTest,"3374","4173","11235","19049","27455"
tests.maptests.object_prim.TroveObjectIntMapTest,"3694","4416","11907","20045","25940"
tests.maptests.identity_object.FastUtilRef2ObjectMapTest,"1932","2756","11257","14721","25794"
tests.maptests.identity_object.GsIdentityMapTest,"1971","2451","8292","11212","18915"
tests.maptests.identity_object.KolobokeIdentityMapTest,"2104","2839","10134","16473","22269"
tests.maptests.identity_object.HppcIdentityMapTest,"2027","2784","11449","13050","25820"
tests.maptests.identity_object.JDKIdentityMapTest,"2447","2441","10525","14958","15984"
tests.maptests.identity_object.TroveJbIdentityMapTest,"3728","4370","13175","18446","31471"
tests.maptests.identity_object.TroveIdentityMapTest,"4034","5087","13771","20401","49110"
